com.samsung.shealth.calories_burned,6060029,2
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,6888733,com.sec.android.app.shealth,2019-01-31 05:23:19.640,2019-01-30 05:00:01.203,8bc924f5-33da-4bfe-adff-696a4b1a554f,1684.4211,465.20334,1548806400000,79R9GKyaj4
0.0,1348672,com.sec.android.app.shealth,2019-02-01 05:00:03.546,2019-01-31 05:23:16.417,37621467-5cf6-4b7d-a4b1-b0db6cfacb45,1801.7856,88.28997,1548892800000,79R9GKyaj4
0.0,10524819,com.sec.android.app.shealth,2019-02-02 17:04:37.195,2019-02-01 05:00:01.437,855f82f5-2246-42c6-8baa-f1213385271d,1607.392,1042.2194,1548979200000,79R9GKyaj4
0.0,5121938,com.sec.android.app.shealth,2019-02-03 14:26:04.108,2019-02-02 05:00:01.314,1beb2e96-af17-494c-b346-b586883b2818,1721.8502,426.80005,1549065600000,79R9GKyaj4
0.0,1965643,com.sec.android.app.shealth,2019-02-04 05:24:00.996,2019-02-03 05:21:23.118,df005181-a296-4ff5-a589-148a7a6e4743,1788.7153,129.63998,1549152000000,79R9GKyaj4
0.0,11542222,com.sec.android.app.shealth,2019-02-05 12:15:29.380,2019-02-04 05:00:01.388,4ed3d703-9535-4005-ba38-987c5314300f,1585.8384,874.93884,1549238400000,79R9GKyaj4
0.0,9194914,com.sec.android.app.shealth,2019-02-06 05:00:02.705,2019-02-05 05:00:01.219,8a9379a5-ea54-4cab-a521-cd51ede095af,1633.9363,615.1338,1549324800000,79R9GKyaj4
0.0,8244381,com.sec.android.app.shealth,2019-02-07 05:11:17.801,2019-02-06 05:00:01.240,aca0611b-5e2f-4644-84dd-6f643e491949,1654.0529,595.4941,1549411200000,79R9GKyaj4
0.0,7313046,com.sec.android.app.shealth,2019-02-08 05:00:02.184,2019-02-07 05:00:01.212,d8d691c4-3861-4da5-ba29-16cc546df024,1673.7633,573.4099,1549497600000,79R9GKyaj4
0.0,6071775,com.sec.android.app.shealth,2019-02-09 13:54:07.975,2019-02-08 05:00:01.001,4028bb31-6e49-4788-a0bc-751ce8617ad6,1696.6438,406.75232,1549584000000,79R9GKyaj4
0.0,5722588,com.sec.android.app.shealth,2019-03-09 04:34:25.370,2019-02-09 05:00:01.645,0eedf063-3ff9-408c-9456-23367113232f,1704.019,614.3408,1549670400000,79R9GKyaj4
0.0,5068459,com.sec.android.app.shealth,2019-03-09 12:24:56.410,2019-02-10 05:00:01.822,694432e9-e676-4e88-a81a-d7bdc9a41e1d,1717.8353,335.90112,1549756800000,79R9GKyaj4
0.0,9120459,com.sec.android.app.shealth,2019-03-09 12:24:56.560,2019-02-11 05:00:04.481,cdf373db-8902-44b9-b7d9-045c284278c8,1632.2513,923.509,1549843200000,79R9GKyaj4
0.0,3435158,com.sec.android.app.shealth,2019-03-09 12:24:56.609,2019-02-12 05:00:01.293,0f552bc8-4b7b-4be0-8226-f467736ab7e3,1757.0012,243.17003,1549929600000,79R9GKyaj4
0.0,5787044,com.sec.android.app.shealth,2019-03-09 12:24:57.149,2019-02-13 05:00:01.126,5eea479b-8f38-4d73-94b3-778af5d3975f,1707.1938,383.22092,1550016000000,79R9GKyaj4
0.0,7167938,com.sec.android.app.shealth,2019-03-09 12:24:57.654,2019-02-14 05:00:02.989,c27c5b2c-08d6-4170-a2b3-8d481e8deaa4,1685.7511,551.23376,1550102400000,79R9GKyaj4
0.0,5152405,com.sec.android.app.shealth,2019-03-09 12:24:58.074,2019-02-15 05:00:01.332,22d81fad-f30c-4e76-834b-ceb697d847bb,1728.6337,349.91254,1550188800000,79R9GKyaj4
0.0,4730640,com.sec.android.app.shealth,2019-03-09 12:24:58.487,2019-02-16 05:00:02.286,f744b08f-19ac-4ee1-a547-2bc888087b9c,1737.6073,332.8126,1550275200000,79R9GKyaj4
0.0,2986512,com.sec.android.app.shealth,2019-03-09 12:24:58.613,2019-02-17 06:45:27.248,96686d79-0a49-482d-b995-1ae8952e2fd7,1774.7156,223.77997,1550361600000,79R9GKyaj4
0.0,8357971,com.sec.android.app.shealth,2019-03-09 12:24:59.590,2019-02-18 05:00:01.423,fcdb71ba-0c0d-43c2-a479-1ccdc9711b16,1660.4319,621.1967,1550448000000,79R9GKyaj4
0.0,8889816,com.sec.android.app.shealth,2019-03-09 12:24:59.710,2019-02-19 05:00:01.404,1c2b124d-f229-4b94-9fce-6cc1b6e24e0f,1637.1228,862.9873,1550534400000,79R9GKyaj4
0.0,8309820,com.sec.android.app.shealth,2019-03-09 12:25:00.002,2019-02-20 05:00:02.049,6c0212cf-5bfc-4dcc-92b8-35d27f5307f0,1649.373,792.45996,1550620800000,79R9GKyaj4
0.0,7892128,com.sec.android.app.shealth,2019-03-09 12:25:00.013,2019-02-21 05:00:01.306,a49e294b-b2b7-4704-bdc5-162eb9bc93ca,1658.1954,571.4659,1550707200000,79R9GKyaj4
0.0,6737675,com.sec.android.app.shealth,2019-03-09 12:25:00.051,2019-02-22 05:00:00.814,ea54fe17-b22a-486e-a277-0716f8b926bc,1689.3024,438.96747,1550793600000,79R9GKyaj4
0.0,5862377,com.sec.android.app.shealth,2019-03-09 12:25:00.075,2019-02-23 05:00:01.261,791ab179-7e97-42ba-9d91-409e271ed426,1707.2968,396.18628,1550880000000,79R9GKyaj4
0.0,1186593,com.sec.android.app.shealth,2019-03-09 12:25:00.092,2019-02-24 05:00:01.607,6766bf4a-ebbf-4e38-84ed-5da4fbc31aeb,1806.4176,76.06899,1550966400000,79R9GKyaj4
0.0,7650775,com.sec.android.app.shealth,2019-03-09 12:25:00.122,2019-02-25 05:00:01.804,74e700ed-727a-4a61-8a32-0ea05feb0e29,1667.7244,573.25964,1551052800000,79R9GKyaj4
0.0,9190363,com.sec.android.app.shealth,2019-03-09 12:25:00.155,2019-02-26 05:00:01.260,78cd0d30-569b-435d-8de4-dd06a42f1c27,1635.1195,910.39844,1551139200000,79R9GKyaj4
0.0,7808597,com.sec.android.app.shealth,2019-03-09 12:25:00.874,2019-02-27 05:00:01.266,fc29d61d-e523-41c0-b4ef-1e8116329d77,1658.3011,548.87317,1551225600000,79R9GKyaj4
0.0,8015539,com.sec.android.app.shealth,2019-03-09 12:25:01.357,2019-02-28 05:00:01.828,08448ea6-c354-4b87-9607-3a04f64d2e13,1653.9348,825.5719,1551312000000,79R9GKyaj4
0.0,7573221,com.sec.android.app.shealth,2019-03-09 12:25:01.524,2019-03-01 05:00:01.315,1eda5844-3b57-45e8-b6b7-99092d9eb7e8,1662.7128,572.79297,1551398400000,79R9GKyaj4
0.0,6062677,com.sec.android.app.shealth,2019-03-09 12:25:01.679,2019-03-02 05:00:01.539,e098eed0-8937-459e-967e-64da73644c0e,1694.5751,455.36212,1551484800000,79R9GKyaj4
0.0,2611808,com.sec.android.app.shealth,2019-03-09 12:25:01.701,2019-03-03 05:21:29.220,bac1554c-b933-41d4-a4cf-c73f6484ca5c,1767.3651,160.24,1551571200000,79R9GKyaj4
0.0,9034821,com.sec.android.app.shealth,2019-03-09 12:25:01.877,2019-03-04 05:00:01.625,c9a621a5-9e29-4988-8d0a-84586504cde0,1631.8829,633.01514,1551657600000,79R9GKyaj4
0.0,7736944,com.sec.android.app.shealth,2019-03-09 12:25:02.078,2019-03-05 05:00:01.212,21c2ed32-3344-4ad6-9d8d-63c6084ba29f,1659.2594,814.45465,1551744000000,79R9GKyaj4
0.0,7033019,com.sec.android.app.shealth,2019-03-09 12:25:02.656,2019-03-06 05:00:01.660,fc32ee4c-aa66-47cd-a71e-55962650a64f,1674.1075,513.31494,1551830400000,79R9GKyaj4
0.0,7041000,com.sec.android.app.shealth,2019-03-09 12:25:03.122,2019-03-07 05:00:01.798,7ee95dbb-33b5-4ad5-a5c3-5066c2bc0839,1673.9391,462.85913,1551916800000,79R9GKyaj4
0.0,5393371,com.sec.android.app.shealth,2019-03-09 12:25:08.647,2019-03-08 05:00:01.372,7e09e146-7188-4f94-bbc4-2d9c07b80d37,1708.693,369.6374,1552003200000,79R9GKyaj4
0.0,6532762,com.sec.android.app.shealth,2019-03-11 12:06:58.270,2019-03-09 05:00:11.942,2da90c44-57ad-4137-8a9f-48891887fdc5,1684.6595,488.55768,1552089600000,79R9GKyaj4
0.0,3357360,com.sec.android.app.shealth,2019-04-06 13:01:12.086,2019-03-10 05:32:51.394,667c0509-21fb-4221-a0ee-d23fc230480e,1751.639,222.89993,1552176000000,79R9GKyaj4
0.0,6527708,com.sec.android.app.shealth,2019-04-06 13:01:13.196,2019-03-11 04:00:01.475,db71ac0b-de99-4ea2-a622-da2476cc1a54,1684.766,442.32855,1552262400000,79R9GKyaj4
0.0,7881432,com.sec.android.app.shealth,2019-04-06 13:01:14.400,2019-03-12 04:00:02.552,8d25f532-0f75-4546-b638-19aae1379d16,1656.2117,542.05194,1552348800000,79R9GKyaj4
0.0,6112315,com.sec.android.app.shealth,2019-04-06 13:01:15.180,2019-03-13 04:00:04.368,7388360f-afee-43cd-bfdb-3d59b3b9da54,1693.5282,437.4297,1552435200000,79R9GKyaj4
