com.samsung.health.food_info,6060029,5
total_fat,potassium,default_number_of_serving_unit,description,carbohydrate,deviceuuid,metric_serving_amount,update_time,serving_description,datauuid,protein,cholesterol,polysaturated_fat,dietary_fiber,calcium,vitamin_a,create_time,unit_count_per_calorie,vitamin_c,custom,metric_serving_unit,monosaturated_fat,saturated_fat,sodium,info_provider,pkg_name,provider_food_id,name,calorie,iron,trans_fat,sugar
29.47,975.0,1,"160 kcal, Per 100g",17.15,79R9GKyaj4,201,2019-07-09 22:59:55.887,"avocado, NS as to Florida or California",bf253a11-22c5-483a-90ad-84b3ada09bc7,4.02,0.0,3.65,13.5,2.0,6.0,2019-07-09 22:59:55.887,0.62454873,34.0,,g,19.696,4.273,14.0,,com.sec.android.app.shealth,fatsecret-5387,Avocado,322.0,6.0,,1.33
1.01,20.0,1,"312 kcal, Per 100g",6.68,79R9GKyaj4,13,2019-07-09 22:59:55.887,tortilla (approx 4" dia),83dc8aa8-8d02-4ab2-83f0-dd8fc222496a,1.08,0.0,0.206,0.4,2.0,0.0,2019-07-09 22:59:55.887,0.31707317,0.0,,g,0.506,0.245,83.0,,com.sec.android.app.shealth,fatsecret-3742,Flour Tortilla,41.0,2.0,,0.25
7.0,,1,"160 kcal, Per 4 oz",0.0,79R9GKyaj4,112,2019-07-09 22:59:55.887,serving,f740781b-a236-4832-b3c4-883515920920,23.0,70.0,,0.0,0.0,0.0,2019-07-09 22:59:55.887,0.7,0.0,,g,,3.0,65.0,,com.sec.android.app.shealth,fatsecret-5497293,Sirloin Tip Steak(Great Value),160.0,10.0,,0.0
0.0,97.0,1,"43 kcal, Per 100g",12.78,79R9GKyaj4,360,2019-07-09 22:59:55.887,can or bottle (12 fl oz),0b7a268d-a3d6-4f0b-8b40-ccc800f23f97,1.66,0.0,0.0,0.0,1.0,0.0,2019-07-09 22:59:55.887,2.3076923,0.0,,g,0.0,0.0,14.0,,com.sec.android.app.shealth,fatsecret-7682,Beer,155.0,0.0,,0.0
0.0,0.0,1,"206 kcal, Per 1 bottle",21.5,79R9GKyaj4,12,2019-07-09 22:59:55.888,serving,c69dffc7-c970-4eae-9f51-fb9b22e39923,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-09 22:59:55.888,,0.0,,oz,0.0,0.0,0.0,,com.sec.android.app.shealth,fatsecret-500175,IPA Beer(Goose Island),206.0,0.0,0.0,0.0
7.82,36.0,1,"252 kcal, Per 100g",39.47,79R9GKyaj4,92,2019-07-09 23:51:00.225,piece (1/6 of pie),f6a8367c-1bef-403b-a849-5b5e9b108db1,2.21,34.0,0.928,1.3,2.0,2.0,2019-07-09 23:51:00.225,0.39929578,0.0,,g,4.18,2.249,132.0,,com.sec.android.app.shealth,fatsecret-38837,Boston Cream Pie Cake,232.0,2.0,,33.22
1.47,89.0,1,"25 kcal, Per 168g",2.91,79R9GKyaj4,177,2019-07-11 15:40:06.299,coffee cup (6 fl oz),e363a40b-588b-4a63-bf2c-107d8403b1df,0.39,0.0,0.004,0.0,0.0,0.0,2019-07-10 12:48:08.017,7.4,0.0,,g,0.041,1.343,12.0,,com.sec.android.app.shealth,fatsecret-2479591,Coffee with Cream,26.0,0.0,,2.26
26.0,,1,"524 kcal, Per 1 pizza",48.0,79R9GKyaj4,0,2019-07-10 16:28:27.964,serving,003f3227-cbd1-4d8e-b0a1-aed32f9ca716,24.0,,,3.0,,,2019-07-10 16:28:27.964,,,,,,11.0,1220.0,,com.sec.android.app.shealth,fatsecret-1006153,Mushroom Pepperoni Sausage Pizza (Kid’s)(California Pizza Kitchen),524.0,,,
28.0,,1,"555 kcal, Per 1 order",55.0,79R9GKyaj4,0,2019-07-10 16:28:27.964,serving,f8531bd8-5735-4de6-a9de-1ede290d6ef4,19.0,67.0,,8.0,,,2019-07-10 16:28:27.964,,,,,,,592.0,,com.sec.android.app.shealth,fatsecret-115426,Mediterranean Salad (Half)(California Pizza Kitchen),555.0,,,25.0
0.1,37.0,1,"791 kcal, Per 1979g",25.87,79R9GKyaj4,248,2019-07-12 23:01:02.366,cup (8 fl oz),cdf23359-5c8e-49f2-9ab2-d95566ee753e,0.17,0.0,0.032,0.0,1.0,0.0,2019-07-10 16:28:27.965,2.5050504,16.0,,g,0.005,0.015,5.0,,com.sec.android.app.shealth,fatsecret-7564,Lemonade,99.0,2.0,,24.73
