com.samsung.health.heart_rate,6060029,8
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2017-12-26 11:34:51.644,UTC-0600,0.0,1,,2017-12-26 11:30:54.281,55.0,3CaTqKloqY,2017-12-26 11:30:54.281,com.sec.android.app.shealth,2017-12-26 11:34:51.644,0.0,,8a2f792f-f6e3-fc61-0fd3-13aba971e315,
2017-12-26 15:03:24.852,UTC-0600,0.0,1,,2017-12-26 15:03:24.670,70.0,3CaTqKloqY,2017-12-26 15:03:24.670,com.sec.android.app.shealth,2017-12-26 15:03:24.852,0.0,,a49d3964-cd80-d251-f450-c5195382df56,
2017-12-26 16:03:57.589,UTC-0600,0.0,1,,2017-12-26 16:00:29.380,51.0,3CaTqKloqY,2017-12-26 16:00:29.380,com.sec.android.app.shealth,2017-12-26 16:03:57.589,0.0,,a83c2030-b4c1-8f70-b15c-7d8ce1e5b04a,
2017-12-26 17:16:25.602,UTC-0600,0.0,1,,2017-12-26 17:16:25.419,61.0,3CaTqKloqY,2017-12-26 17:16:25.419,com.sec.android.app.shealth,2017-12-26 17:16:25.602,0.0,,4d140413-07d0-8bb9-83f2-3b8b1b25c7af,
2017-12-26 18:32:24.201,UTC-0600,0.0,1,,2017-12-26 18:32:23.990,74.0,3CaTqKloqY,2017-12-26 18:32:23.990,com.sec.android.app.shealth,2017-12-26 18:32:24.201,0.0,,69acb00f-e12c-c660-860b-a6fd51937b41,
2017-12-26 22:49:12.318,UTC-0600,0.0,1,,2017-12-26 22:49:12.124,60.0,3CaTqKloqY,2017-12-26 22:49:12.124,com.sec.android.app.shealth,2017-12-26 22:49:12.318,0.0,,36b52716-340e-7f0c-61f1-12ee8fab20f9,
2017-12-27 13:13:59.820,UTC-0600,71.0,1,,2017-12-27 00:59:59.999,70.0,3CaTqKloqY,2017-12-27 00:00:00.000,com.sec.android.app.shealth,2017-12-27 13:13:59.820,69.0,88be12b9-c868-8222-36c6-d64d48bcc14c.binning_data.json,88be12b9-c868-8222-36c6-d64d48bcc14c,
2017-12-27 00:35:00.749,UTC-0600,0.0,1,,2017-12-27 00:30:57.031,69.0,3CaTqKloqY,2017-12-27 00:30:57.031,com.sec.android.app.shealth,2017-12-27 00:35:00.749,0.0,,7559fd1d-57f9-90b4-f8bc-c21ab86c68a4,
2017-12-27 00:51:02.356,UTC-0600,0.0,1,,2017-12-27 00:50:29.291,70.0,3CaTqKloqY,2017-12-27 00:50:29.291,com.sec.android.app.shealth,2017-12-27 00:51:02.356,0.0,,269f4406-6183-5859-43b5-9f61232b1ce4,
2017-12-27 01:23:23.937,UTC-0600,0.0,1,,2017-12-27 01:20:58.661,54.0,3CaTqKloqY,2017-12-27 01:20:58.661,com.sec.android.app.shealth,2017-12-27 01:23:23.937,0.0,,ed4f2ce0-fa0d-0122-ef29-bea60ab50f29,
2017-12-27 03:12:10.580,UTC-0600,0.0,1,,2017-12-27 03:10:29.301,67.0,3CaTqKloqY,2017-12-27 03:10:29.301,com.sec.android.app.shealth,2017-12-27 03:12:10.580,0.0,,c48bce86-0f6d-01f0-188d-967265fc7ccf,
2017-12-27 03:32:58.565,UTC-0600,0.0,1,,2017-12-27 03:30:38.700,70.0,3CaTqKloqY,2017-12-27 03:30:38.700,com.sec.android.app.shealth,2017-12-27 03:32:58.565,0.0,,cf99a46f-ace9-a42e-e9c4-7a35ed5d24e6,
2017-12-27 03:52:30.276,UTC-0600,0.0,1,,2017-12-27 03:40:54.441,59.0,3CaTqKloqY,2017-12-27 03:40:54.441,com.sec.android.app.shealth,2017-12-27 03:52:30.276,0.0,,f1099ede-b53d-3755-aaaa-80c0eb61eb75,
2017-12-27 03:52:30.287,UTC-0600,0.0,1,,2017-12-27 03:50:29.341,57.0,3CaTqKloqY,2017-12-27 03:50:29.341,com.sec.android.app.shealth,2017-12-27 03:52:30.287,0.0,,3b50052b-7978-cadd-d22d-64ca01aab1de,
2017-12-27 04:02:28.566,UTC-0600,0.0,1,,2017-12-27 04:00:29.260,65.0,3CaTqKloqY,2017-12-27 04:00:29.260,com.sec.android.app.shealth,2017-12-27 04:02:28.566,0.0,,78c20142-8c22-015b-2235-6ab73eed57a4,
2017-12-27 04:30:37.605,UTC-0600,0.0,1,,2017-12-27 04:30:29.341,63.0,3CaTqKloqY,2017-12-27 04:30:29.341,com.sec.android.app.shealth,2017-12-27 04:30:37.605,0.0,,069cfefd-c0ae-a980-bac9-047b3c413d87,
2017-12-27 04:52:28.546,UTC-0600,0.0,1,,2017-12-27 04:50:52.421,57.0,3CaTqKloqY,2017-12-27 04:50:52.421,com.sec.android.app.shealth,2017-12-27 04:52:28.546,0.0,,d2753116-237d-8f01-1b2d-16c7c3082bc4,
